ID;PARTNER;BGN_DT;END_DT;BESTANDID
1188;Le Fèvre de Caumartin Jacques;T00:00:00Z;1667-12-31T00:00:00Z;[4074]
359865;Flugabwehr ;T00:00:00Z;1945-12-31T00:00:00Z;
2920;Sektion für landwirtschaftliche Produktion und Hauswirtschaft ;T00:00:00Z;1947-12-31T00:00:00Z;
2910;Sektion für Getreideversorgung ;T00:00:00Z;1948-12-31T00:00:00Z;
2923;Sektion für Milch und Milchprodukte ;T00:00:00Z;1948-12-31T00:00:00Z;
5297861;Betriebsstoffkommission ;T00:00:00Z;1952-12-31T00:00:00Z;
930;Bratschi Robert;T00:00:00Z;1981-12-31T00:00:00Z;[4165]
1345;Schweizerschule, Neapel ;T00:00:00Z;1984-12-31T00:00:00Z;[3748]
1950;Eidgenössisches Institut für Reaktorforschung, Würenlingen ;T00:00:00Z;1988-12-31T00:00:00Z;
1818;Bundesamt für Rüstungstechnik ;T00:00:00Z;1995-12-31T00:00:00Z;
81;Kommission des Nationalrats für Aussenwirtschaft ;T00:00:00Z;9999-12-31T00:00:00Z;
125;Delegation der eidgenössischen Räte bei der europäischen Freihandelsassoziation und beim europäischen Parlament ;T00:00:00Z;9999-12-31T00:00:00Z;
238;Hauptvertretung für die britische und die amerikanische Zone, Frankfurt am Main ;T00:00:00Z;9999-12-31T00:00:00Z;
499;Sektion Straf- und Massnahmenvollzug ;T00:00:00Z;9999-12-31T00:00:00Z;
524;Rechtsdienst der Bundesanwaltschaft ;T00:00:00Z;9999-12-31T00:00:00Z;
528;Sicherheitsdienst der Bundesverwaltung ;T00:00:00Z;9999-12-31T00:00:00Z;
532;Eidgenössisches Kriegsversicherungsamt ;T00:00:00Z;9999-12-31T00:00:00Z;
576;Abteilung Waffen- und Schiessplätze ;T00:00:00Z;9999-12-31T00:00:00Z;
614;Militärärztlicher Dienst ;T00:00:00Z;9999-12-31T00:00:00Z;
621;Arbeitsgruppe Denkmalpflege bei militärischen Anlagen und Bauten ;T00:00:00Z;9999-12-31T00:00:00Z;
635;Abteilung Materialtruppen ;T00:00:00Z;9999-12-31T00:00:00Z;
730;Interkantonale Kommission für Steueraufklärung ;T00:00:00Z;9999-12-31T00:00:00Z;
770;Arbeitsärztlicher Dienst ;T00:00:00Z;9999-12-31T00:00:00Z;
771;Dienst für Tourismus ;T00:00:00Z;9999-12-31T00:00:00Z;
848;Expertenkommission für den Zolltarif und für die Einfuhrbeschränkungen ;T00:00:00Z;9999-12-31T00:00:00Z;[5221]
851;Kommission für historische Kunstdenkmäler ;T00:00:00Z;9999-12-31T00:00:00Z;
913;Silberschein Abraham;T00:00:00Z;9999-12-31T00:00:00Z;[4147]
917;Gerber-Rutsch Johanna;T00:00:00Z;9999-12-31T00:00:00Z;
920;Aerni Klaus;T00:00:00Z;9999-12-31T00:00:00Z;[4154]
